"commune","code_INSEE","surface_parcourue_m2","annee","mois","jour","heure","nature_inc_prim","nature_inc_sec"
"Saint-Haon","43192",72000,2012,"Feb",28,13,"Involontaire","particulier"
"Laroquevieille","15095",150000,2012,"Feb",29,13,"Involontaire","travaux"
"Saint-Paul-de-Salers","15205",300000,2012,"Mar",2,13,"Involontaire","particulier"
"Saint-Flour","15187",70000,2012,"Mar",2,13,"Involontaire","particulier"
"Cassaniouze","15029",80000,2012,"Mar",8,11,"Involontaire","particulier"
"Soulages","15229",50000,2012,"Mar",14,19,"Accidentelle",NA
"Fayet","12099",75000,2012,"Mar",1,16,"Involontaire","particulier"
"Saint-Parthem","12240",75000,2012,"Mar",2,14,"Involontaire","particulier"
"Champs-sur-Tarentaine-Marchal","15038",180000,2012,"Mar",16,13,"Malveillance",NA
"Auzers","15015",50000,2012,"Mar",17,8,"Accidentelle",NA
"Crémieu","38138",50000,2012,"Mar",2,16,"Malveillance",NA
"Alligny-en-Morvan","58003",70000,2012,"Mar",27,21,"Involontaire","travaux"
"Espalion","12096",50000,2012,"Mar",23,19,"Involontaire","particulier"
"Montagnol","12147",50000,2012,"Mar",14,15,"Involontaire","particulier"
"Roumégoux","15166",50000,2012,"Mar",28,13,"Involontaire","travaux"
"Jussac","15083",60000,2012,"Mar",29,15,"Involontaire","travaux"
"Varacieux","38523",50000,2012,"Mar",26,11,"Malveillance",NA
"Livinhac-le-Haut","12130",650000,2012,"Mar",28,12,"Involontaire","particulier"
"Saint-Poncy","15207",100000,2012,"Apr",2,15,"Involontaire","travaux"
"Saint-Denis","97411",150000,2012,"Sep",16,11,"Malveillance",NA
"Saint-Denis","97411",85000,2012,"Oct",27,11,"Malveillance",NA
"Mimizan","40184",162907,2012,"Aug",16,15,"Accidentelle",NA
"Beylongue","40040",153000,2012,"Feb",28,14,"Involontaire","particulier"
"Pompéjac","33329",119800,2012,"Sep",20,16,"Involontaire","travaux"
"Touvérac","16384",50000,2012,"Jun",25,2,"Accidentelle",NA
"Rosis","34235",74000,2012,"Feb",22,21,"Malveillance",NA
"Murviel-lès-Béziers","34178",83300,2012,"Feb",20,15,"Malveillance",NA
"Prunelli-di-Fiumorbo","2B251",200000,2012,"Jan",6,12,"Malveillance",NA
"Gigors","4093",182000,2012,"Feb",19,13,"Involontaire","particulier"
"Estavar","66072",50000,2012,"Feb",29,15,"Involontaire","travaux"
"Concoules","30090",102800,2012,"Feb",9,12,"Involontaire","particulier"
"Rochessauve","7194",86000,2012,"Mar",2,17,"Involontaire","travaux"
"Labatie-d'Andaure","7114",120000,2012,"Mar",3,10,"Involontaire","travaux"
"Saint-Laurent-sous-Coiron","7263",166000,2012,"Mar",3,14,"Involontaire","travaux"
"Usclas-du-Bosc","34316",55000,2012,"Feb",23,15,"Involontaire","travaux"
"Aumelas","34016",150000,2012,"Mar",8,7,"Malveillance",NA
"Saint-Privat","34286",100000,2012,"Mar",10,14,"Malveillance",NA
"Villeveyrac","34341",101100,2012,"Mar",9,15,"Involontaire","travaux"
"Valbelle","4229",68000,2012,"Feb",23,12,"Involontaire","travaux"
"Montlaur","11251",64200,2012,"Feb",29,13,"Involontaire","travaux"
"Loupian","34143",320000,2012,"Mar",8,14,"Accidentelle",NA
"Saint-Privat","34286",190200,2012,"Mar",10,14,"Malveillance",NA
"Sablières","7202",450000,2012,"Mar",15,15,"Involontaire","particulier"
"Laveyrune","7136",76000,2012,"Mar",15,17,"Involontaire","travaux"
"Clans","6042",518181,2012,"Jan",17,13,"Involontaire","travaux"
"Saint-Auban","6116",120500,2012,"Mar",16,10,"Involontaire","travaux"
"Calenzana","2B049",50000,2012,"Mar",11,17,"Malveillance",NA
"Prévenchères","48119",50000,2012,"Feb",21,14,"Involontaire","travaux"
"Saint-Laurent-de-Cerdans","66179",70000,2012,"Mar",24,13,"Involontaire","travaux"
"Banyuls-sur-Mer","66016",50000,2012,"Mar",25,12,"Involontaire","travaux"
"Burzet","7045",590000,2012,"Mar",27,16,"Malveillance",NA
"Chanousse","5033",223300,2012,"Mar",11,13,"Involontaire","particulier"
"Mayres","7153",114000,2012,"Mar",28,20,"Malveillance",NA
"Niort-de-Sault","11265",53200,2012,"Mar",29,13,"Malveillance",NA
"Aups","83007",50000,2012,"Mar",28,17,"Involontaire","travaux"
"Bédouès","48022",60000,2012,"Mar",16,15,"Involontaire","travaux"
