"Code.INSEE","RR_med","NBJRR1_med","NBJRR5_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med"
"43192",43.15,7,1.5,1,6.9,16.45,8.1,4.3,3342,12824
"15095",153.8,13,8,5,4.8,15.55,9.4,2.8,3464,12519
"15205",153.8,13,8,5,4.8,15.55,7.6,4.4,3464,12519
"15187",55.7,9,3,2,3.8,13.5,8.7,2.6,3336,12135
"15029",105.6,11,6,3,8.1,18.4,9.65,3.4,3345,11451
"15229",52,8,3,1,3.7,13.8,8.3,2.1,3336,12135
"12099",64.5,9,4,2,7.5,14.8,10.6,3.3,3138,12100
"12240",78.45,10,5,3,3.7,15,9.65,3.4,3345,11451
"15038",65.5,10,5.5,2,5.5,14.8,7.3,4.7,3058,11646
"15015",90.7,11,6,3,5.9,15.45,9.4,2.3,NA,NA
"38138",66.5,9,4,2,8.35,17,10.2,2.9,2946,11810
"58003",96.3,12,6.5,3,5.2,14.1,9.6,3.3,2951,11810
"12096",74.4,9,5,3,6,16,10.4,2,3703,13345
"12147",64.5,9,4,2,7.5,14.8,9.55,3.9,3138,12100
"15166",111.05,11,6,4,7,15,10.1,2.2,3349,12638
"15083",98.1,11.5,6,4,3.7,16.4,9.4,2.8,3464,12519
"38523",80.4,9,5,3,7.3,15.3,11,0.9,3258,12251.5
"12130",89.55,10,5,3,6.6,17.5,10.1,2.2,3349,12638
"15207",52,8,3,1,3.5,15.6,3.6,1.05,3336,12135
"97411",128,12,6,4,17.5,25,20.75,3.3,4726,19659
"40184",40.85,7,2.5,1,9.6,18.1,12.7,1.3,3184,12763
"40040",75.3,10,5,2,6.9,20.2,11.2,1.2,2949,12075
"33329",66.05,10,4,2,7.4,18,12.4,2.4,3342,12753
"16384",61.5,10,4,2,7.8,17.65,11.4,2.2,3380,12747
"34235",52.5,3,3,2,8.3,17.4,9.6,5.3,3138,12100
"34178",37.3,5,2,1,9.95,19.6,11.1,3.1,4299,14539.5
"2B251",39.25,5,2,1,7.9,18.9,12.6,3.1,4020,14625
"4093",57.05,7,4,2,2.95,17.05,8.8,1.8,4490,16015
"66072",57.2,8,4,2,3.9,14.7,7.15,2.8,4173,15741
"30090",104.95,8,5,3,7.9,16.4,9.6,2.7,3865.5,13845
"7194",67.5,7,4,2,9.4,20.3,12.1,3.8,5775,23126
"7114",66,9,4,2,4.5,13,8.3,3.7,3090.5,12678
"7263",73.3,4.5,3.5,2,6.3,15.1,9.6,3.8,3297,12155
"34316",36,4,2,2,10.1,18.9,10.7,4.7,NA,NA
"34016",32.9,4,2,1,8.2,19.7,10.95,2.2,4104,14498
"34286",73.05,6,3,2,6.5,16.9,10.7,4.7,NA,NA
"34341",42.7,4,2,1,11.6,17.9,11.9,4.8,4104,14498
"4229",63.85,6,4,2,5.05,19.05,9.1,1.8,4433,13701
"11251",56.8,7,3,2,9.7,18.5,11.7,4.9,3389,14179
"34143",32,4,2,1,11.6,17.9,11.9,4.8,4104,14498
"7202",97.55,7,4,3,8.5,18.7,9.7,1.5,NA,NA
"7136",82.9,9,5,3,2.8,13.95,8.5,3.3,NA,NA
"6042",62.95,6,3,2,6,15,7.1,2,NA,NA
"6116",78.3,5.5,4,3,1.3,15.3,7.7,1.8,NA,NA
"2B049",63.6,6,3,2,10.7,20.3,11.9,3.7,4352.5,15088.5
"48119",67.05,8,4,2,6.2,14.1,8.5,3.3,NA,NA
"66179",66.7,7,4,2,7.4,17,9.65,1.8,NA,NA
"66016",30.95,4,2,1,12.3,17.95,12.3,8,4055,14416
"7045",94.55,8,4,3,7.2,16.4,9.7,3.6,NA,NA
"5033",63.8,7,4,2,5.1,18.6,8.7,2.4,3895,13933
"7153",103.9,8,5,3,7.4,19.6,9.5,1.7,3275,12558
"11265",69.65,9,5,2,4.5,14,8.5,2.7,4173,15741
"83007",44,5,3,2,7.25,18.7,11.3,2.3,NA,NA
"48022",72,8,4,2,8.2,20.2,8.8,4.2,3282,11861.5
"48097",116.25,7,4.5,3,7.8,15.85,9.2,3.4,NA,NA
"48186",72,8,4,2,8.2,20.2,8.8,4.2,NA,NA
"30062",41,4,2,1,9.7,20.4,12.3,2.5,4205,15149
"4039",64.5,7,4,2,4.45,19.3,7.75,1.6,NA,NA
"83114",46.95,5,3,2,6.35,20.1,10.7,2.3,4308,14970
